,content,id,lat,location,lon,time,user,user_id
0,@MichaelToole https://t.co/bwacJa6EVm,968546545338601473,,02139,,2018-02-27 18:01:05,hoover_dam,35197742
1,"“Bad Breath” - 🍕of feta, pesto, caramelized onions, garlic, basil, spinach, tomatoes, arugula… https://t.co/88h2BsLmAV",968545837105254408,-71.09821558,"Boston, MA",42.3468411,2018-02-27 17:58:16,GameOnFenway,30972506
2,What do u serve here? #mainelyburgers #burger #burgerporn @ Mainely Burgers https://t.co/Cfg9wRQ5Ie,968543927325339648,-71.10491,Sydney,42.36592,2018-02-27 17:50:41,dryasadingo,35187666
4,"@Bowsnonk yeah and it's not like the joke doesn't work by changing it to ""pay by the hour meth lab motel"" or similar",968543104348442628,,02139,,2018-02-27 17:47:25,hoover_dam,35197742
5,"@FriendlyFAUX The Green Book, only for American soccer fandom",968538903715172352,,02139,,2018-02-27 17:30:43,hoover_dam,35197742
6,"Want to work at Massachusetts Institute of Techn...? We're #hiring in #Cambridge, MA! Click for details:… https://t.co/C38DWwFHCG",968537971048656896,-71.0824613,"Boston, MA",42.3635847,2018-02-27 17:27:01,tmj_bos_edu,21799895
7,"Tuesday Tips with Donte Harrison:

[On being part of City Music] “If you are wondering how… https://t.co/yRiNCkyqxj",968537330771521536,-71.08881712,"Boston, MA",42.34717414,2018-02-27 17:24:28,CityMusicBoston,1954374439
8,@MichaelToole THANKS MOM,968536037130727431,,02139,,2018-02-27 17:19:20,hoover_dam,35197742
9,"Update: no cavities, but a planing in my future, as you could park a truck in some of those gum pockets 😬",968534871898513409,,02139,,2018-02-27 17:14:42,hoover_dam,35197742
10,PSA: 2016 rosé is 1. still in BOS 2. still delicious (possibly even better; over any travel… https://t.co/Wj2tCDTgZs,968527241046122496,-71.09686,"CENTRAL SQ., Cambridge, MA",42.36117,2018-02-27 16:44:23,centralbtlwine,59888158
12,"You look very tasty😍 May I eat you?😝
........................
Pek lezzetli görünüyorsun! Seni… https://t.co/rtbzSson1k",968524997412249602,-71.08283136,İstanbul,42.36504124,2018-02-27 16:35:28,KokoshAnne,524757059
13,"🌺☀️🌺#Hibiscus Jasmine tea, so yummy and packed full of vitamins A, C and… https://t.co/CfhU1e8MDx",968522888088350720,-71.0986961,"Cambridge, MA",42.3626014,2018-02-27 16:27:05,abidecambridge,867397423831896065
15,"TONIGHT: Nina and Sundial!

Rsvp: https://t.co/AE2OeT2FFM https://t.co/tvD0qhGw99",968522052490711045,,"Cambridge, MA 02139",,2018-02-27 16:23:46,zuzubar,54668956
